Deformation[in],Force[kip]
-2.148229489,-95.00293677
-2.141103438,51.02153022
-2.121506796,53.23068868
-2.118834527,-94.71136867
-2.100128641,54.96036449
-2.084095025,-94.41912015
-2.073405948,56.97854642
-2.052027793,-94.12721184
-2.041338716,58.51769933
-2.017822746,60.09414029
-2.019960561,-93.73936163
-1.990565599,61.45039121
-1.987893329,-93.44745332
-1.953688282,62.98056232
-1.955826097,-93.25148691
-1.923758865,64.09729872
-1.927321891,-62.93022
-1.929103404,-65.04116844
-1.929103404,-66.7681225
-1.929103404,-68.49507656
-1.929103404,-70.22203061
-1.929103404,-71.94898467
-1.929103404,-73.67593873
-1.934447943,-74.82792187
-1.929103404,-76.985934
-1.934447943,-78.28182999
-1.934447943,-80.00878404
-1.934447943,-81.7357381
-1.934447943,-83.46269216
-1.934447943,-85.18964622
-1.923758865,-87.49089075
-1.929103404,-88.78678673
-1.929103404,-90.9454793
-1.923758865,-92.47986914
-1.923758865,-94.20682319
-1.923758865,-95.93377725
-1.923758865,-97.56478942
-1.923758865,-99.38768536
-1.923758865,-100.8268137
-1.913069788,-56.54826968
-1.918414327,-58.99546836
-1.918414327,-60.72242242
-1.902380711,-50.64648244
-1.907725249,-52.37411693
-1.907725249,-54.10107099
-1.889553818,65.291333
-1.891691633,-45.46425939
-1.891691633,-47.19121344
-1.897036172,-48.91884794
-1.891691633,-88.06245947
-1.891691633,-92.09201893
-1.891691633,-93.81897299
-1.891691633,-95.54592705
-1.891691633,-96.98505543
-1.891691633,-98.99983516
-1.891691633,-100.6308473
-1.881002556,-42.00899039
-1.881002556,-43.64000256
-1.870313479,-36.82676734
-1.870313479,-38.45777951
-1.875658017,-40.2813559
-1.857486586,66.44671833
-1.859624401,-33.37149835
-1.859624401,-35.00251052
-1.859624401,-87.77055116
-1.856952132,-92.23150892
-1.859624401,-94.19865793
-1.859624401,-95.92561198
-1.86496894,-96.98165323
-1.859624401,-98.99575253
-1.859624401,-100.4348809
-1.848935324,-29.91622936
-1.848935324,-31.54724153
-1.835573977,-24.87757893
-1.838246247,-26.84472794
-1.843590785,-28.18859486
-1.827557169,67.51548379
-1.825419354,-21.50872568
-1.827557169,-23.43742989
-1.827557169,-87.76646852
-1.827557169,-91.50820231
-1.827557169,-93.23515637
-1.827557169,-94.96211043
-1.827557169,-96.68906449
-1.827557169,-98.9916699
-1.827557169,-100.4307983
-1.816868092,-18.97477103
-1.803506745,-15.80698749
-1.811523553,-17.24713653
-1.795489937,68.09521778
-1.792817668,-10.19302593
-1.795489937,-12.06423305
-1.800834476,-13.79186754
-1.806179015,-20.41253853
-1.795489937,-87.76238589
-1.795489937,-91.50411968
-1.795489937,-93.23107374
-1.795489937,-94.95802779
-1.795489937,-96.49309807
-1.795489937,-98.98758726
-1.795489937,-100.4267156
-1.782663044,-6.99686809
-1.795489937,-8.610324931
-1.771973967,-2.505426663
-1.779456321,-4.578724147
-1.766094975,68.96243722
-1.760750436,-0.04308821
-1.763422705,-87.2785938
-1.763422705,-90.92438569
-1.763422705,-92.65133975
-1.763422705,-94.37829381
-1.763422705,-96.10524787
-1.76128489,-99.44375353
-1.774111783,-100.4239939
-1.750595812,5.095892944
-1.758078167,2.907465191
-1.763422705,1.755482047
-1.739372281,9.170055185
-1.747389089,7.514036888
-1.731355473,69.8303371
-1.729217658,12.69721255
-1.742044551,10.96862544
-1.731355473,-87.08262738
-1.731355473,-90.92030306
-1.731355473,-92.64725712
-1.731355473,-94.37421117
-1.731355473,-96.10116523
-1.731355473,-99.26724767
-1.71852858,16.38274209
-1.731355473,14.99954579
-1.707839503,19.14722946
-1.699288241,70.64992582
-1.699288241,22.05535749
-1.699288241,-86.69477718
-1.696615972,-91.05979305
-1.699288241,-93.02694205
-1.699288241,-94.75389611
-1.699288241,-96.48085017
-1.699288241,-98.83142652
-1.709977319,-99.84017727
-1.688599164,24.64714945
-1.675772271,27.38312643
-1.667221009,71.51748548
-1.672565548,70.26956045
-1.66454874,29.90303002
-1.667221009,-86.49881076
-1.667221009,-90.33648644
-1.667221009,-92.0634405
-1.667221009,-93.79039455
-1.667221009,-95.51734861
-1.667221009,-97.62807024
-1.667221009,-99.16314051
-1.653859662,32.06308347
-1.643170585,34.07922408
-1.635153777,72.09721947
-1.635153777,70.84997487
-1.632481508,36.02340827
-1.635153777,-86.01501866
-1.635153777,-90.33240381
-1.635153777,-92.05935786
-1.635153777,-93.78631192
-1.635153777,-95.32138219
-1.635153777,-98.39152274
-1.62179243,38.18346172
-1.611103353,39.91177666
-1.603086545,72.86883724
-1.603086545,71.42970886
-1.613775622,36.31361548
-1.603086545,-86.01093603
-1.60094873,-90.55830954
-1.603086545,-92.82281037
-1.603086545,-94.54976442
-1.613775622,-95.22271855
-1.603086545,-98.24352727
-1.589725198,41.78536531
-1.579036121,43.94541876
-1.592397468,39.77024535
-1.568881498,72.81562691
-1.568347044,45.67373369
-1.571019313,-86.0068534
-1.571019313,-89.74858719
-1.571019313,-91.47554124
-1.571019313,-93.2024953
-1.571019313,-94.92944936
-1.568347044,-97.51954023
