Time[s],Deformation[in]
115,-3.37117E-15
115.25,-0.22106175
115.5,-0.312526336
115.75,-0.220917362
116,-2.70897E-19
116.25,0.22077349
116.5,0.312119404
116.75,0.220630132
117,3.36294E-15
117.25,-0.220487286
117.5,-0.311715374
117.75,-0.220344951
118,-6.71693E-15
118.25,0.220203125
118.5,0.311314228
118.75,0.220061805
119,1.00623E-14
119.25,-0.21992099
119.5,-0.310915943
119.75,-0.219780679
120,-1.33992E-14
120.25,0.219640869
120.5,0.3105205
120.75,0.219501558
121,-9.12126E-16
121.25,-0.219362746
121.5,-0.310127878
121.75,-0.219224429
122,-2.4303E-15
122.25,0.219086607
122.5,0.309738058
122.75,0.218949277
123,5.76434E-15
123.25,-0.218812439
123.5,-0.309351018
123.75,-0.218676089
124,-9.09009E-15
124.25,0.218540226
124.5,0.30896674
124.75,0.218404849
125,1.24076E-14
125.25,-0.218269955
125.5,-0.308585203
125.75,-0.218135544
126,1.81318E-15
126.25,0.218001613
126.5,0.308206388
126.75,0.217868161
127,1.50967E-15
127.25,-0.217735185
127.5,-0.307830276
127.75,-0.217602685
128,-4.82443E-15
128.25,0.217470658
128.5,0.307456848
128.75,0.217339103
129,8.13118E-15
129.25,-0.217208019
129.5,-0.307086083
129.75,-0.217077402
130,-1.143E-14
130.25,0.216947253
130.5,0.306717964
130.75,0.216817568
131,-2.7035E-15
131.25,-0.216688347
131.5,-0.306352471
131.75,-0.216559588
132,-6.00433E-16
132.25,0.216431289
132.5,0.305989586
132.75,0.216303448
133,3.89655E-15
133.25,-0.216176064
133.5,-0.305629289
133.75,-0.216049136
134,-7.18492E-15
134.25,0.215922661
134.5,0.305271563
134.75,0.215796638
135,1.04656E-14
135.25,-0.215671065
135.5,-0.30491639
135.75,-0.215545941
136,3.58365E-15
136.25,0.215421264
136.5,0.30456375
136.75,0.215297033
137,-2.98007E-16
137.25,-0.215173246
137.5,-0.304213626
137.75,-0.215049901
138,-2.98008E-15
138.25,0.214926997
138.5,0.303866
138.75,0.214804532
139,6.2507E-15
139.25,-0.214682504
139.5,-0.303520854
139.75,-0.214560913
