Force[kip],Deformation[in]
-559.896606,-0.218459
-564.70697,-0.225129
-569.497375,-0.225709
-574.239441,-0.229469
-578.890747,-0.230049
-583.403748,-0.231789
-587.746277,-0.235559
-591.916138,-0.234399
-595.944458,-0.237299
-599.881836,-0.239609
-603.774536,-0.240479
-607.64679,-0.240479
-611.503296,-0.247149
-615.339722,-0.247729
-619.152466,-0.245989
-622.935608,-0.248309
-626.672302,-0.250909
-630.332031,-0.251199
-633.877136,-0.251489
-637.287415,-0.257289
-640.581543,-0.255549
-643.814575,-0.256999
-647.04541,-0.260769
-650.296387,-0.263949
-653.529175,-0.261919
-656.659668,-0.262209
-659.600464,-0.267719
-662.315613,-0.268299
-664.847107,-0.268009
-667.302124,-0.268009
-669.798401,-0.270039
-672.410156,-0.272349
-675.136108,-0.273799
-677.904358,-0.274089
-680.607361,-0.275249
-683.150269,-0.279889
-685.483093,-0.279889
-687.615662,-0.279889
-689.60968,-0.281919
-691.560364,-0.283359
-693.560242,-0.284519
-695.65918,-0.285389
-697.83374,-0.285099
-699.986755,-0.286839
-701.984802,-0.286549
-703.723816,-0.289739
-705.189575,-0.291769
-706.474365,-0.292929
-707.731323,-0.293799
-709.093506,-0.292929
-710.598206,-0.295529
-712.161865,-0.296689
-713.623718,-0.298139
-714.833618,-0.297849
-715.740967,-0.298719
-716.423401,-0.300749
-717.044312,-0.299879
-717.765259,-0.301039
-718.659668,-0.299879
-719.680664,-0.302779
-720.69458,-0.303069
-721.559143,-0.303069
-722.194336,-0.303939
-722.610413,-0.302779
-722.884399,-0.305099
-723.108582,-0.306539
-723.344788,-0.307699
-723.610229,-0.305959
-723.891846,-0.309149
-724.175781,-0.309729
-724.461548,-0.310019
-724.752563,-0.308569
-725.034363,-0.310309
-725.263062,-0.311179
-725.373474,-0.310889
-725.318909,-0.312339
-725.110168,-0.312049
-724.826843,-0.312339
-724.579651,-0.312629
-724.443787,-0.313789
-724.405334,-0.313789
-724.34967,-0.314369
-724.119629,-0.314659
-723.608032,-0.312339
-722.835205,-0.312629
-721.95697,-0.314369
-721.194214,-0.314079
-720.722046,-0.315529
-720.578918,-0.315239
-720.650635,-0.313789
-720.740051,-0.314079
-720.674744,-0.314079
-720.384338,-0.315239
-719.900208,-0.315819
-719.289001,-0.314369
-718.578308,-0.314949
-717.72876,-0.313499
-716.672913,-0.314079
-715.389404,-0.314079
-713.949646,-0.313209
-712.491516,-0.313789
-711.136108,-0.314369
-709.897034,-0.313789
-708.652344,-0.315529
-707.200562,-0.314659
-705.365356,-0.314369
-703.081848,-0.315239
-700.409546,-0.312919
-697.470154,-0.314369
-694.358215,-0.314079
-691.090759,-0.315529
-687.624329,-0.314659
-683.922607,-0.315239
-680.018738,-0.313789
-676.031799,-0.314369
-672.121887,-0.315239
-668.415344,-0.315239
-664.952759,-0.314079
-661.686401,-0.313499
-658.520386,-0.314369
-655.360474,-0.315529
-652.151123,-0.313209
-648.87793,-0.315819
-645.549622,-0.314079
-642.180115,-0.316399
-638.776855,-0.314949
-635.337891,-0.311179
-631.855164,-0.312049
-628.31958,-0.311759
-624.726929,-0.311179
-621.08313,-0.311179
-617.40918,-0.305959
-613.733765,-0.308279
-610.073914,-0.306539
-606.420593,-0.305959
-602.73822,-0.307119
-598.982727,-0.304519
-595.128601,-0.301039
-591.1875,-0.300169
-587.205505,-0.301039
-583.237732,-0.294369
-579.311035,-0.296979
-575.408081,-0.293799
-571.479492,-0.294369
-567.478149,-0.290899
-563.385437,-0.292929
-559.218811,-0.289739
-555.01593,-0.289739
-550.804321,-0.285099
-546.577637,-0.285099
-542.300171,-0.285389
-537.930908,-0.278729
-533.445618,-0.280179
-528.843872,-0.276989
-524.141663,-0.273799
-519.35907,-0.271489
-514.511169,-0.270039
-509.605621,-0.268589
-504.647583,-0.265109
-499.641998,-0.263949
-494.591217,-0.262209
-489.493713,-0.259899
-484.346344,-0.260189
-479.147125,-0.254099
-473.896637,-0.253809
-468.597229,-0.251779
-463.249115,-0.249469
-457.846344,-0.247439
-452.376831,-0.243089
-446.835449,-0.243379
-441.241119,-0.241639
-435.638947,-0.238749
-430.08194,-0.235269
-424.596344,-0.234109
-419.148651,-0.234109
-413.641785,-0.230049
-407.95816,-0.229469
-402.024475,-0.224549
-395.862061,-0.222809
-389.589813,-0.218169
-383.36908,-0.220489
-377.318146,-0.214699
-371.444183,-0.211509
-365.635803,-0.211509
-359.724243,-0.208029
-353.581055,-0.204849
-347.197174,-0.201369
-340.697662,-0.199629
-334.280212,-0.194699
-328.104248,-0.193839
-322.19397,-0.191229
-316.412933,-0.189779
-310.522705,-0.186009
-304.302094,-0.184269
-297.663025,-0.179639
-290.70752,-0.180799
-283.683228,-0.175579
-276.857086,-0.170079
-270.377441,-0.169789
-264.197784,-0.163989
-258.101685,-0.163699
-251.820724,-0.160229
-245.182449,-0.158199
-238.2043,-0.153269
-231.076447,-0.152979
-224.049088,-0.147769
-217.297379,-0.144289
-210.83522,-0.143129
-204.526764,-0.140229
-198.181915,-0.137629
-191.674286,-0.132699
-185.009811,-0.129509
-178.308731,-0.126329
-171.718613,-0.122559
