Force[kip],Deformation[in]
-168.862839,-0.17079
-166.196594,-0.16963
-163.446991,-0.16557
-160.684784,-0.16325
-157.955521,-0.16325
-155.251678,-0.15832
-152.524948,-0.15832
-149.730011,-0.15281
-146.863571,-0.15223
-143.972305,-0.14817
-141.119492,-0.14324
-138.337891,-0.14179
-135.602188,-0.14237
-132.840591,-0.14208
-129.979401,-0.13802
-126.990364,-0.13222
-123.91095,-0.13135
-120.819054,-0.13106
-117.777878,-0.12787
-114.787102,-0.12323
-111.773796,-0.12381
-108.6325,-0.11801
-105.285973,-0.11714
-101.737152,-0.11366
-98.077972,-0.11134
-94.444611,-0.10671
-90.950645,-0.10352
-87.637321,-0.09946
-84.468307,-0.09888
-81.368172,-0.10033
-78.278915,-0.0954
-75.191055,-0.09424
-72.141853,-0.09105
-69.188927,-0.09018
-66.363312,-0.08728
-63.632423,-0.0838
-60.901176,-0.08322
-58.062008,-0.08409
-55.061928,-0.08409
-51.942421,-0.07771
-48.820972,-0.07684
-45.82114,-0.078
-42.987843,-0.0722
-40.250965,-0.0722
-37.474277,-0.06901
-34.55925,-0.06756
-31.531651,-0.06582
-28.54727,-0.06553
-25.801786,-0.06466
-23.392967,-0.06524
-21.226599,-0.06118
-19.037359,-0.06089
-16.529467,-0.05799
-13.556379,-0.05857
-10.233631,-0.05799
-6.918552,-0.05567
-4.060225,-0.05161
-2.004755,-0.05248
-0.859589,-0.05161
-0.480193,-0.05335
-0.568787,-0.05393
-0.814548,-0.05248
-0.999735,-0.05132
-1.03172,-0.05219
-0.911821,-0.05364
-0.686559,-0.05277
-0.417518,-0.05161
-0.170749,-0.05219
-0.007712,-0.0519
0.034437,-0.05219
-0.02995,-0.05451
-0.130516,-0.05364
-0.179463,-0.05248
-0.129181,-0.05277
-0.004442,-0.05219
0.119553,-0.05364
0.185172,-0.05306
0.212622,-0.05335
0.300561,-0.05132
0.554868,-0.05219
0.991786,-0.05306
1.490176,-0.05335
1.850041,-0.05045
1.918301,-0.05248
1.688627,-0.05335
1.313212,-0.05335
1.015486,-0.05393
0.960411,-0.05219
1.165323,-0.05393
1.50959,-0.05277
1.827951,-0.05132
2.023671,-0.05103
2.124082,-0.05045
2.246056,-0.05045
2.503844,-0.04958
2.926455,-0.04668
3.443622,-0.04784
3.954204,-0.04697
4.427697,-0.04668
4.959361,-0.04784
5.734652,-0.04755
6.926593,-0.04175
8.597672,-0.04059
10.667759,-0.0374
12.96712,-0.03625
15.335671,-0.03306
17.701742,-0.02784
20.093924,-0.0261
22.587317,-0.02175
25.230015,-0.01537
28.002813,-0.01131
30.829432,-0.00812
33.624989,-0.00609
36.347176,-0.00493
39.0187,0.00087
41.707703,0.002609
