Force[kip],Deformation[in]
-1121.055298,-0.26502
-1118.975342,-0.26328
-1116.890259,-0.26705
-1114.812134,-0.26502
-1112.69458,-0.2656
-1110.473633,-0.26589
-1108.091064,-0.26676
-1105.499878,-0.26502
-1102.661621,-0.26589
-1099.546509,-0.2656
-1096.147583,-0.26618
-1092.500122,-0.26473
-1088.681641,-0.26473
-1084.800903,-0.26502
-1080.968628,-0.26531
-1077.26062,-0.26589
-1073.698364,-0.26647
-1070.244507,-0.2656
-1066.811157,-0.26589
-1063.289673,-0.26444
-1059.571655,-0.26589
-1055.568115,-0.26444
-1051.207642,-0.26589
-1046.434692,-0.26502
-1041.217407,-0.26531
-1035.566528,-0.26618
-1029.560059,-0.26531
-1023.345947,-0.26444
-1017.105835,-0.26647
-1010.993652,-0.26328
-1005.071716,-0.26067
-999.286438,-0.26125
-993.499634,-0.26009
-987.566895,-0.26038
-981.422668,-0.26038
-975.118164,-0.25777
-968.787231,-0.25458
-962.554687,-0.25487
-956.445312,-0.25516
-950.357117,-0.25226
-944.114258,-0.24907
-937.571655,-0.24907
-930.702942,-0.24994
-923.620361,-0.2424
-916.51593,-0.24298
-909.563354,-0.24385
-902.83606,-0.24124
-896.286194,-0.23748
-889.7901,-0.23835
-883.225342,-0.23864
-876.526917,-0.23487
-869.688721,-0.23226
-862.72583,-0.23255
-855.62738,-0.23023
-848.335815,-0.22559
-840.772583,-0.22588
-832.888184,-0.22646
-824.702087,-0.22385
-816.313477,-0.22008
-807.873413,-0.21921
-799.537109,-0.21776
-791.409851,-0.21631
-783.508972,-0.21283
-775.749023,-0.21312
-767.968201,-0.2108
-759.980286,-0.20761
-751.638916,-0.20094
-742.895752,-0.20384
-733.827576,-0.20297
-724.625916,-0.1992
-715.536987,-0.19659
-706.774475,-0.19427
-698.445435,-0.19195
-690.516907,-0.1905
-682.846863,-0.18992
-675.259949,-0.18499
-667.621521,-0.18557
-659.881653,-0.17919
-652.058655,-0.17977
-644.187378,-0.17745
-636.268555,-0.176
-628.255188,-0.17513
-620.082581,-0.17542
-611.714905,-0.17368
-603.176147,-0.16847
-594.53595,-0.16818
-585.864319,-0.16991
-577.189575,-0.16267
-568.485352,-0.16412
-559.701782,-0.15803
-550.812256,-0.15832
-541.841064,-0.15542
-532.848877,-0.15194
-523.885986,-0.15165
-514.950439,-0.1473
-505.976196,-0.14556
-496.873657,-0.14411
-487.584473,-0.14295
-478.126862,-0.13802
-468.594971,-0.13599
-459.112396,-0.1328
-449.76709,-0.13309
-440.56546,-0.12903
-431.437561,-0.13135
-422.285492,-0.127
-413.038361,-0.12584
-403.683563,-0.12265
-394.25885,-0.11975
-384.815674,-0.11743
-375.374908,-0.11656
-365.903625,-0.11279
-356.327301,-0.11018
-346.57132,-0.10757
-336.608582,-0.10583
-326.48172,-0.10554
-316.29541,-0.10206
-306.179382,-0.09772
-296.243256,-0.09308
-286.536896,-0.09337
-277.03241,-0.09163
-267.640137,-0.08902
-258.252289,-0.08728
-248.786438,-0.08728
-239.209259,-0.08351
-229.529297,-0.08322
-219.77742,-0.07887
-209.990585,-0.07481
-200.1978,-0.07249
-190.414124,-0.07104
-180.645676,-0.07278
-170.902008,-0.06669
-161.204117,-0.06785
-151.576431,-0.06524
-142.020935,-0.05944
-132.494064,-0.05799
-122.910324,-0.05393
-113.18782,-0.05538
-103.319481,-0.05074
-93.425018,-0.04871
-83.731514,-0.04668
-74.471115,-0.04697
-65.739685,-0.04378
-57.401485,-0.04175
-49.122543,-0.03914
-40.548401,-0.0345
-31.545746,-0.03624
-22.376966,-0.02986
-13.68528,-0.02986
-6.270671,-0.02957
-0.760472,-0.02639
2.655143,-0.02465
4.28947,-0.02639
4.799292,-0.02494
4.897885,-0.02436
5.089299,-0.02378
5.546012,-0.02494
6.164173,-0.0261
6.725629,-0.02349
7.061203,-0.02407
7.127716,-0.02639
6.989495,-0.02349
6.751518,-0.02407
6.503715,-0.02378
6.303865,-0.02378
6.190428,-0.0232
6.195471,-0.02291
6.341232,-0.02378
6.626559,-0.02349
7.017238,-0.02291
7.454611,-0.02436
7.882102,-0.02407
8.268568,-0.02378
8.610495,-0.02407
8.917223,-0.02436
9.191277,-0.02291
9.428343,-0.02436
9.630203,-0.0232
9.807837,-0.02465
9.972217,-0.0232
10.123922,-0.02436
10.253986,-0.02291
10.35839,-0.02291
10.450886,-0.02262
10.56213,-0.02436
10.720225,-0.02465
10.924754,-0.02291
11.141645,-0.02378
11.331819,-0.02407
11.505042,-0.02436
11.761719,-0.02291
12.284958,-0.02262
13.276596,-0.02291
14.862765,-0.02349
17.030844,-0.01943
19.641748,-0.0203
22.519154,-0.02146
25.57036,-0.0203
28.86274,-0.02088
32.606472,-0.02088
37.049824,-0.0145
42.348423,-0.01566
48.480335,-0.01566
55.256062,-0.01595
62.410446,-0.00986
69.72316,-0.01015
77.098907,-0.00899
84.570557,-0.00406
92.240997,-0.0029
100.203697,0.037406
108.491005,0.00261
117.067978,0.00348
125.857002,0.00754
134.770309,0.00609
143.733871,0.009569
152.696838,0.014499
161.631485,0.014209
170.531174,0.017978
179.405487,0.020008
188.273026,0.022908
197.149734,0.026387
206.03714,0.026677
214.921051,0.027547
223.781342,0.031896
232.601379,0.033636
241.372116,0.035956
250.085022,0.040885
258.723938,0.038565
267.270294,0.040885
275.718842,0.043785
284.094116,0.046684
292.453949,0.049584
300.868652,0.050744
309.384674,0.055963
317.990326,0.056833
326.610413,0.058862
335.138458,0.061472
343.48941,0.059732
351.648773,0.067561
359.680817,0.066981
367.694214,0.085539
375.779663,0.07336
383.954376,0.070751
392.146362,0.07684
400.228149,0.07887
408.084137,0.080029
415.672333,0.081479
423.046783,0.084089
430.334534,0.088438
437.680328,0.089888
445.188599,0.088438
452.891968,0.093947
460.751709,0.093657
468.68573,0.094237
476.602234,0.100327
484.42218,0.101486
492.088776,0.105836
499.569824,0.106126
506.861359,0.105256
513.989197,0.109605
521.004761,0.111635
527.965881,0.110185
534.913696,0.115984
541.850586,0.117724
548.732239,0.118014
555.486206,0.122363
562.048584,0.124103
568.403442,0.123523
574.594482,0.126713
580.706177,0.127583
586.819946,0.127293
592.976746,0.130482
599.16272,0.132222
605.328308,0.133092
611.4245,0.135701
617.431519,0.138891
623.365234,0.139761
629.26178,0.14295
635.152405,0.142081
641.048401,0.1444
646.940308,0.14788
652.805176,0.14643
658.61792,0.1473
664.355774,0.149909
669.995117,0.151069
675.507751,0.150779
680.865723,0.153099
686.055847,0.158898
691.093872,0.157448
696.02478,0.156868
700.905151,0.156868
705.774231,0.163537
710.63623,0.164407
715.460754,0.162088
720.202881,0.165567
724.830444,0.166727
729.345215,0.169337
733.785645,0.167887
738.209717,0.169047
742.664673,0.170496
747.16626,0.173396
751.692749,0.173976
756.20166,0.175426
760.649536,0.178325
765.009155,0.176296
769.273376,0.176586
773.446899,0.181225
777.535706,0.181515
781.539124,0.182675
785.450195,0.184125
789.257874,0.183835
792.950439,0.186154
796.519531,0.186444
799.965088,0.186734
803.302185,0.188764
806.563171,0.188474
809.788879,0.188474
813.013672,0.189054
816.245605,0.190214
819.459473,0.194273
822.600464,0.193983
825.605408,0.196013
828.424622,0.195723
831.034912,0.193983
833.441711,0.195143
835.665649,0.194273
837.734192,0.197753
839.67688,0.196013
841.52948,0.198622
843.338806,0.200652
845.158325,0.199782
847.037476,0.200362
849.006531,0.200072
851.066406,0.199492
853.195496,0.200072
855.364746,0.200942
857.548767,0.201232
859.7276,0.203552
861.877869,0.204132
863.95929,0.204712
865.911926,0.204712
867.661011,0.205292
869.136963,0.204422
870.297729,0.205002
