Deformation[in],Force[kip]
0.407778124,692.3249447
0.408198196,672.0202145
0.434718729,-609.8850858
0.443433819,-651.0360057
0.426366302,-681.2900537
0.449029176,598.9231857
0.46104323,18.20790186
0.525062174,724.812513
0.52556626,700.4468368
0.526070347,676.0811605
0.552450856,-599.0558964
0.553122971,-631.5434647
0.563540752,-659.970087
0.534387768,-676.2138712
0.566929332,601.6304831
0.578999395,18.20790186
0.64301834,724.812513
0.643522426,700.4468368
0.643970502,678.7884579
0.670210988,-589.5803556
0.680782796,-625.4520457
0.671527213,-653.2018436
0.652175905,-668.0919791
0.685025521,594.8622397
0.69695556,18.20790186
0.760974505,724.812513
0.761478591,700.4468368
0.761898663,680.1421066
0.78797112,-580.1048149
0.798570932,-617.3301536
0.789287345,-643.7263029
0.769964042,-659.970087
0.80312171,588.0939963
0.814911726,18.20790186
0.878762641,732.9344051
0.879266728,708.5687289
0.879770814,684.2030526
0.905675242,-567.9219768
0.914418337,-610.4265453
0.907159496,-639.6653568
0.868092817,-651.8481949
0.921217899,581.3257529
0.932867891,18.20790186
0.996718807,732.9344051
0.997222893,708.5687289
0.997642965,688.2639987
1.023435374,-558.446436
1.024107489,-590.9340043
1.024611575,-615.2996806
1.025059652,-636.9580595
1.039370098,571.8502121
1.050824056,18.20790186
1.114506943,741.0562972
1.115011029,716.6906209
1.115515116,692.3249447
1.141139496,-546.2635979
1.151767313,-584.8425853
1.142511731,-612.5923832
1.12320243,-629.5129917
1.157438283,566.4356174
1.168780222,18.20790186
1.232463109,741.0562972
1.232967195,716.6906209
1.233415271,695.0322421
1.258871623,-535.4344084
1.267614718,-577.938977
1.260355877,-607.1777885
1.221289198,-619.3606266
1.275394448,566.4356174
1.286736387,18.20790186
1.326727224,-14.27966647
1.360290962,739.0258242
1.351035379,711.2760262
1.331684071,696.3858907
1.376631755,-525.9588677
1.385402855,-569.8170849
1.368335337,-600.0711329
1.393350613,566.4356174
1.404692552,18.20790186
1.444683389,-14.27966647
1.46820741,749.1781893
1.468711497,724.812513
1.469215583,700.4468368
1.494279868,-511.0687322
1.503022962,-553.5733007
1.495736117,-581.4584636
1.456697443,-594.9949504
1.511278774,567.7892661
1.522648718,18.20790186
1.562639554,-14.27966647
1.586163576,749.1781893
1.586667662,724.812513
1.587171748,700.4468368
1.611899976,-494.824948
1.62064307,-537.3295166
1.613356225,-565.2146794
1.574317551,-578.7511662
1.629178929,570.4965635
1.640604883,18.20790186
1.680595719,-14.27966647
1.704119741,749.1781893
